"Title","ID","Created Date","Updated Date","Owner","Service Offering","Rich Text","Order","Icon","Hide"
"Outcomes","04b50e94-1d8a-4f76-a81a-cdff5aa4d214",2025-03-26T00:51:14Z,2025-04-30T01:10:25Z,"b805cef0-823c-4610-b623-a9de8636fce2","3701f271-6355-4e36-b321-320d1f0edbc6","<p class=""font_7"">Measurement and analysis of expected and actual tangible business benefits and outcomes aligns GTM activity with business impact.</p>",8,,
"Microsoft Partner Development and Engagement","0e53704a-c88c-42f4-ab9f-91b3f45a6c23",2025-03-26T00:50:48Z,2025-04-30T01:10:29Z,"b805cef0-823c-4610-b623-a9de8636fce2","3701f271-6355-4e36-b321-320d1f0edbc6","<p class=""font_7"">Leveraging our deep ecosystem expertise, we drive Microsoft partner development and engagement. We help you navigate the complexities of partner relationships, ensuring that you maximize the benefits of your Microsoft partnerships.</p>",7,,true
"Maturity Models","0f05be3d-9533-4bd9-9c9f-fe58c00b97e5",2025-03-26T01:52:50Z,2025-04-30T01:11:01Z,"b805cef0-823c-4610-b623-a9de8636fce2","b324b6d2-6fb8-432a-a47b-c63365c5d36d","<p class=""font_7"">Maturity model assessments to plan for sustainable growth of IT initiatives.</p>",4,,
"Maturity Models","1ac9e6a9-d197-4dbd-ae07-8c88abeb640c",2025-05-19T22:33:44Z,2025-05-19T22:34:47Z,"b805cef0-823c-4610-b623-a9de8636fce2","defddd15-b8bf-435e-a109-6ec5fd8308db","<p class=""font_7"">Maturity model assessments to plan for sustainable growth of AI initiatives</p>",1,,false
"Methodology","27c43e1d-b240-49d5-bc80-d1a74a85609c",2025-05-19T22:36:30Z,2025-05-19T22:36:59Z,"b805cef0-823c-4610-b623-a9de8636fce2","defddd15-b8bf-435e-a109-6ec5fd8308db","<p class=""font_7"">A proven curriculum-based methodology to design and manage pilot and deployment projects</p>",4,,false
"Operate & Optimize","3bad341c-ea22-4b33-9740-09b988b2715e",2025-03-15T00:27:25Z,2025-04-30T01:11:26Z,"b805cef0-823c-4610-b623-a9de8636fce2","ec208342-b30f-4adf-9e47-7aa61c7c480a","<p class=""font_7"">Provide mentoring to your leadership team and their direct reports. Quarterly and Annual planning support along with “focus rhythm” discipline to ensure you have the capability to continue management/execution of your CoS</p>",5,,
"Prioritization and Planning","3e22dc46-2cb5-4e20-a053-9dfb876f07b7",2025-05-21T01:51:03Z,2025-05-22T16:25:14Z,"b805cef0-823c-4610-b623-a9de8636fce2","a22fd612-fce6-4b80-a4ac-18e0d1dc2e16","<ul class=""font_8"">
  <li><p class=""font_8"">Define short, mid, and long-term goals using the <strong>SMART</strong> criteria (Specific, Measurable, Achievable, Relevant, Time-bound).</p></li>
  <li><p class=""font_8"">Develop a detailed remediation and work plan, outlining steps, timelines, responsible parties, and expected outcomes.</p></li>
  <li><p class=""font_8"">Identify and plan for quick wins that can demonstrate immediate impact and build momentum.</p></li>
</ul>",3,,false
"Measurement","4442b75b-e90b-4f9b-b994-11e20acdce3b",2025-05-21T01:52:45Z,2025-05-22T16:25:21Z,"b805cef0-823c-4610-b623-a9de8636fce2","a22fd612-fce6-4b80-a4ac-18e0d1dc2e16","<ul class=""font_8"">
  <li><p class=""font_8"">Collect and analyze data to measure the success of implemented strategies and initiatives.</p></li>
  <li><p class=""font_8"">Prepare detailed reports for management, translating technical metrics into business impacts.</p></li>
  <li><p class=""font_8"">Communicate progress regularly to maintain transparency and stakeholder engagement.</p></li>
</ul>",5,,false
"Product Management","54433633-d53e-41c3-8f51-e0bdff444813",2025-03-26T00:49:05Z,2025-04-30T01:10:32Z,"b805cef0-823c-4610-b623-a9de8636fce2","3701f271-6355-4e36-b321-320d1f0edbc6","<p class=""font_7"">We offer strategic product management services that help you streamline product development, prioritize features, and achieve market success.</p>",5,,
"Readiness","5d9b6c7a-08c5-4a0c-983b-af394302d56a",2025-05-19T22:34:47Z,2025-05-19T22:35:28Z,"b805cef0-823c-4610-b623-a9de8636fce2","defddd15-b8bf-435e-a109-6ec5fd8308db","<p class=""font_7"">Readiness based on content security, privacy, governance, risk and compliance offerings</p>",2,,false
"Channel Strategy","62974cec-5c9a-4348-9582-6e9281639d41",2025-03-26T00:49:49Z,2025-04-30T01:10:36Z,"b805cef0-823c-4610-b623-a9de8636fce2","3701f271-6355-4e36-b321-320d1f0edbc6","<p class=""font_7"">Synozur assists you in developing robust partnerships with suppliers and channel partners to enhance your market reach and leverage the ecosystem for growth.</p>",6,,
"Focus on People","645f868e-96ee-460c-89a8-a8b9033d97d4",2025-03-26T01:54:06Z,2025-04-30T01:11:06Z,"b805cef0-823c-4610-b623-a9de8636fce2","b324b6d2-6fb8-432a-a47b-c63365c5d36d","<p class=""font_7"">A human-centric approach that includes:</p>
<ul class=""font_7"">
  <li><p class=""font_7"">Meetings, pilots, and adoption should be engaging and delightful</p></li>
  <li><p class=""font_7"">Agile project methodology to keep business users–in the forefront and engaged throughout</p></li>
  <li><p class=""font_7"">Ethical considerations to consider and optimize human impact</p></li>
  <li><p class=""font_7"">Change management and adoption resources to streamline and optimize deployment</p></li>
</ul>",6,,
"Brand Definition and Messaging","69f05cd8-6713-4ab8-8c24-9f62d188d3b7",2025-03-26T00:46:46Z,2025-04-30T01:10:39Z,"b805cef0-823c-4610-b623-a9de8636fce2","3701f271-6355-4e36-b321-320d1f0edbc6","<p class=""font_7"">We work closely with you to define your brand's identity and create messaging that captures its essence. Our approach ensures that your brand stands out in the market and communicates effectively with your target audience.</p>",1,,true
"Customer Experience (CX)","6eb804ad-02ca-4a06-9f03-d29114011730",2025-03-26T00:48:40Z,2025-04-30T01:10:42Z,"b805cef0-823c-4610-b623-a9de8636fce2","3701f271-6355-4e36-b321-320d1f0edbc6","<p class=""font_7"">Synozur provides end-to-end support in Customer Experience, ensuring that every touchpoint reflects the brand's values and enhances the overall customer journey.</p>",4,,
"Objectives","76dd57f9-3945-48e5-9dd4-8bdbea2fd315",2025-03-15T00:26:54Z,2025-04-30T01:11:29Z,"b805cef0-823c-4610-b623-a9de8636fce2","ec208342-b30f-4adf-9e47-7aa61c7c480a","<p class=""font_7"">Readiness based on content security, privacy, governance, risk and compliance offerings</p>",2,,
"Learnings","7b78d96d-476a-4737-8c3d-25bc0cad4aaf",2025-05-21T01:55:04Z,2025-05-22T16:25:24Z,"b805cef0-823c-4610-b623-a9de8636fce2","a22fd612-fce6-4b80-a4ac-18e0d1dc2e16","<ul class=""font_8"">
  <li><p class=""font_8"">Use findings from assessments to realign strategies with evolving business needs and market conditions.</p></li>
  <li><p class=""font_8"">Prioritize new initiatives and scale back less effective ones based on ongoing analysis and feedback.</p></li>
  <li><p class=""font_8"">Regularly review and optimize practices, policies, and technologies to ensure they remain effective and relevant.</p></li>
</ul>",6,,false
"Workshops","7c5057be-d7e5-4f0b-ad48-b85998a2d935",2025-03-26T01:52:21Z,2025-04-30T01:11:09Z,"b805cef0-823c-4610-b623-a9de8636fce2","b324b6d2-6fb8-432a-a47b-c63365c5d36d","<p class=""font_7"">We use interactive workshops to assess technical readiness and design collaborative roadmaps, leveraging existing solutions.</p>",3,,
"Outcomes","807cdc83-591c-40b9-85cf-ad0923335fad",2025-05-19T22:38:12Z,2025-05-19T22:38:39Z,"b805cef0-823c-4610-b623-a9de8636fce2","defddd15-b8bf-435e-a109-6ec5fd8308db","<p class=""font_7"">Measurement and analysis of expected and actual tangible business benefits and outcomes aligns technical deployment with business transformation.</p>",6,,false
"Customization","827be57c-e4db-498b-9635-06d9e45ae8e6",2025-03-11T23:18:37Z,2025-04-30T01:10:52Z,"b805cef0-823c-4610-b623-a9de8636fce2","68978cbe-80b7-48c0-a3b3-a8eaaea0d882","<p class=""font_7"">We design and implement programs that align with your organizational goals and culture.</p>",2,,
"Assessment","846bb5a1-561e-42b4-a6a9-bfe7702a911d",2025-03-11T23:18:22Z,2025-04-30T01:10:55Z,"b805cef0-823c-4610-b623-a9de8636fce2","68978cbe-80b7-48c0-a3b3-a8eaaea0d882","<p class=""font_7"">We use advanced tools and techniques to gather data on employee sentiment, engagement levels, and workplace dynamics.</p>",1,,
"Design","8a5b1a8c-5025-47bb-9d74-c93d2b3eaaa1",2025-03-15T00:27:00Z,2025-04-30T01:11:33Z,"b805cef0-823c-4610-b623-a9de8636fce2","ec208342-b30f-4adf-9e47-7aa61c7c480a","<p class=""font_7"">Develop a clear vision and plan for current and incoming leaders to track business performance against well-defined measures. This can also include helping you choose the appropriate software and tools to support your CoS – it could be Viva Goals, a 3rd party solution, a spreadsheet, or even a printed notebook based on your needs and culture.</p>",3,,
"Long Term Planning","9a25b3c0-6eb8-4420-b343-2f0d44eee7c1",2025-05-21T01:55:52Z,2025-05-22T16:25:27Z,"b805cef0-823c-4610-b623-a9de8636fce2","a22fd612-fce6-4b80-a4ac-18e0d1dc2e16","<ul class=""font_8"">
  <li><p class=""font_8"">Set in motion long-term plans that align with the company’s vision and strategic objectives.</p></li>
  <li><p class=""font_8"">Develop a culture of continuous learning, training, and proactive research within the organization.</p></li>
  <li><p class=""font_8"">Ensure the team is equipped to handle future challenges and capitalize on opportunities</p></li>
</ul>",7,,false
"Strategy & Planning","a6341baa-dc1a-48ff-ab01-a21f5281dd2b",2025-03-15T00:27:08Z,2025-04-30T01:11:36Z,"b805cef0-823c-4610-b623-a9de8636fce2","ec208342-b30f-4adf-9e47-7aa61c7c480a","<p class=""font_7"">Notice how we didn’t say “Strategic Planning”? We will work with you to clairfy your Business Foundations which include Purpose, Mission, Vision, Values Strategy, 10-year and 5-year goals along with your company scorecard (measures).</p>",4,,
"Focus on People","aac394e3-54a2-4b4f-bc42-008b6257072c",2025-05-19T22:37:11Z,2025-05-19T22:38:08Z,"b805cef0-823c-4610-b623-a9de8636fce2","defddd15-b8bf-435e-a109-6ec5fd8308db","<p class=""font_7"">A human-centric approach that includes:</p>
<ul class=""font_7"">
  <li><p class=""font_7"">Meetings, pilots, and adoption should be engaging and delightful</p></li>
  <li><p class=""font_7"">Agile project methodology to keep business users–in the forefront and engaged throughout</p></li>
  <li><p class=""font_7"">Ethical considerations to consider and optimize human impact</p></li>
  <li><p class=""font_7"">Change management and adoption resources to streamline and optimize deployment</p></li>
</ul>",5,,false
"Alignment","c191bcc4-49f6-459c-9dce-e01548ae675c",2025-03-26T01:51:22Z,2025-04-30T01:11:12Z,"b805cef0-823c-4610-b623-a9de8636fce2","b324b6d2-6fb8-432a-a47b-c63365c5d36d","<p class=""font_7"">Ensuring that your technology investments are directly aligned with your business objectives and ROI expectations</p>",1,,
"Assessment","c1a2b78b-89cc-429e-839b-09cafaa52371",2025-03-15T00:26:32Z,2025-04-30T01:11:39Z,"b805cef0-823c-4610-b623-a9de8636fce2","ec208342-b30f-4adf-9e47-7aa61c7c480a","<p class=""font_7"">Evaluate the current state of your organization leveraging our management maturity model to find areas for improvement and acceleration.</p>",1,,
"Execution","c3a24563-7296-44cc-aba2-afe7e794999a",2025-05-21T01:52:14Z,2025-05-22T16:25:18Z,"b805cef0-823c-4610-b623-a9de8636fce2","a22fd612-fce6-4b80-a4ac-18e0d1dc2e16","<ul class=""font_8"">
  <li><p class=""font_8"">Secure stakeholder and management buy-in by clearly communicating the plan, its benefits, and its impact.</p></li>
  <li><p class=""font_8"">Implement the plan, focusing on high-priority tasks and leveraging automation to improve efficiency.</p></li>
  <li><p class=""font_8"">Ensure continuous management and adjustment of the plan to address emerging needs and challenges.</p></li>
</ul>",4,,false
"Rollouts","c535482d-e757-438f-9ba6-0798f44f3b35",2025-03-26T01:53:33Z,2025-04-30T01:11:16Z,"b805cef0-823c-4610-b623-a9de8636fce2","b324b6d2-6fb8-432a-a47b-c63365c5d36d","<p class=""font_7"">A proven methodology to design and manage pilot and deployment projects</p>",5,,
"Assessment","cc2214e3-cfa0-4644-9d8a-a798af5d4c90",2025-05-21T01:48:16Z,2025-05-22T16:25:08Z,"b805cef0-823c-4610-b623-a9de8636fce2","a22fd612-fce6-4b80-a4ac-18e0d1dc2e16","<ul class=""font_8"">
  <li><p class=""font_8"">Meet with key stakeholders and management to understand their expectations, business objectives, and current challenges.</p></li>
  <li><p class=""font_8"">Evaluate the team’s skills, workflows, and resources to identify gaps and areas for improvement.</p></li>
  <li><p class=""font_8"">Gain access to relevant tools, data, and systems for a comprehensive review of current practices and configurations.</p></li>
</ul>",1,,false
"Engagement Programs","d8b64f26-6446-4d64-9f4a-ec81b8d5175c",2025-03-26T00:47:17Z,2025-04-30T01:10:45Z,"b805cef0-823c-4610-b623-a9de8636fce2","3701f271-6355-4e36-b321-320d1f0edbc6","<p class=""font_7"">Our engagement programs are designed to foster strong connections with your customers. We develop and execute strategies that drive customer loyalty and enhance your brand's presence across various channels.</p>",2,,
"Improvement","dca4fd62-39fb-41bd-8cb8-a52a3d3fbd8b",2025-03-11T23:18:56Z,2025-04-30T01:10:58Z,"b805cef0-823c-4610-b623-a9de8636fce2","68978cbe-80b7-48c0-a3b3-a8eaaea0d882","<p class=""font_7"">We monitor progress and make data-driven adjustments to ensure sustained impact and improvement.</p>",3,,
"Go-to-Market (GTM) Strategy and Execution","dcd199b6-56f1-482c-92d1-7501933c4018",2025-03-26T00:48:15Z,2025-04-30T01:10:48Z,"b805cef0-823c-4610-b623-a9de8636fce2","3701f271-6355-4e36-b321-320d1f0edbc6","<p class=""font_7"">We design the themes and rhythms for sustained engagement with your markets and stakeholders to drive product success, optimize market entry, and maximize customer acquisition.</p>",3,,true
"Priorities","e379f9e5-81d1-4ef0-9319-62c57a970dd2",2025-05-19T22:35:33Z,2025-05-19T22:36:10Z,"b805cef0-823c-4610-b623-a9de8636fce2","defddd15-b8bf-435e-a109-6ec5fd8308db","<p class=""font_7"">AI prioritization based on developing and agreeing to key business needs</p>",3,,false
"Outcomes","f4bb8e0f-5d4f-48c2-8614-4a078f5d7bce",2025-03-26T01:54:51Z,2025-04-30T01:11:18Z,"b805cef0-823c-4610-b623-a9de8636fce2","b324b6d2-6fb8-432a-a47b-c63365c5d36d","<p class=""font_7"">Measurement and analysis of expected and actual tangible business benefits and outcomes aligns technical deployment with business transformation.</p>",7,,
"Collaboration","f65eda0f-1b6f-41e1-abbf-0d689a781a69",2025-03-26T01:51:55Z,2025-04-30T01:11:23Z,"b805cef0-823c-4610-b623-a9de8636fce2","b324b6d2-6fb8-432a-a47b-c63365c5d36d","<p class=""font_7"">Building consensus among stakeholders and fostering a sense of ownership and commitment.</p>",2,,
